"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11500-00059,바탕골,어린이공원,,서울특별시 강서구 화곡동 1016-34,37.5444684472,126.834711,976.6,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00060,미리내,어린이공원,,서울특별시 강서구 화곡동 1008-32,37.547649,126.834751,967.5,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00061,수명산,어린이공원,,서울특별시 강서구 화곡동 1044-31,37.5409576348,126.834336,984.9,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00062,대원,어린이공원,,서울특별시 강서구 화곡동 1022,37.544871,126.835910,276.9,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00063,천사,어린이공원,,서울특별시 강서구 화곡동 1139-1,37.546917,126.833001,2395.2,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00064,두레,어린이공원,,서울특별시 강서구 화곡동 792-9,37.5311043637,126.859414,986.1,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00065,달빛,어린이공원,,서울특별시 강서구 화곡동783-1,37.531163,126.862932,976.2,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00066,무지개,어린이공원,,서울특별시 강서구 화곡동806-10,37.533937,126.861300,976.2,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00067,능골,어린이공원,,서울특별시 강서구 화곡동468-1,37.536695,126.855316,997.2,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00068,종달새,어린이공원,,서울특별시 강서구 화곡동819-5,37.535302,126.858020,991.4,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00069,화곡2주구1,어린이공원,,서울특별시 강서구 화곡동1159-2,37.550169,126.838658,2438.3,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00070,화곡2주구2,어린이공원,,서울특별시 강서구 화곡동1159-3,37.548687,126.838686,2438.2,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00071,범바위,어린이공원,,서울특별시 강서구 화곡동1061-36,37.5432342100,126.841377,973.6,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00072,개나리,어린이공원,,서울특별시 강서구 화곡동75-3,37.548372,126.844024,285,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00073,화곡3주구1,어린이공원,,서울특별시 강서구 화곡동1165-2,37.531816,126.846863,4504.2,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00074,화곡3주구2,어린이공원,,서울특별시 강서구 화곡동1165-6,37.541419,126.839983,3466.8,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00075,역말,어린이공원,,서울특별시 강서구 화곡동978-18,37.549726,126.848944,982.1,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00076,새말,어린이공원,,서울특별시 강서구 화곡동994-5,37.5520346859,126.846474,969.6,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00077,연지,어린이공원,,서울특별시 강서구 화곡동1109,37.5547069857,126.8535370561,629.1,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00078,백연,어린이공원,,서울특별시 강서구 화곡동980-2,37.550667,126.851903,1107.4,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00079,솔뫼,어린이공원,,서울특별시 강서구 화곡동379-32,37.5380261475,126.838591,1981.5,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00080,월정,어린이공원,,서울특별시 강서구 화곡동372-26,37.535153,126.835992,1181.5,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00081,초롱,어린이공원,,서울특별시 강서구 화곡동1088-16,37.538048,126.836229,946,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00082,은행,어린이공원,,서울특별시 강서구 화곡동369-11,37.535784,126.840510,1123.6,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00083,까치산,어린이공원,,서울특별시 강서구 화곡동354-14,37.533399,126.841895,1163.6,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00084,배다리,어린이공원,,서울특별시 강서구 화곡동341-24,37.532080,126.848297,1630.1,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00085,안골,어린이공원,,서울특별시 강서구 화곡동155-1,37.535964,126.850746,2381.8,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00086,대무,어린이공원,,서울특별시 강서구 화곡동409-84,37.5380020797,126.847506,946,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00087,모태,어린이공원,,서울특별시 강서구 화곡동892-17,37.529462,126.849512,1003.4,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00088,더부리,어린이공원,,서울특별시 강서구 화곡동339-19,37.534837,126.846751,1263.7,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00089,나들이,어린이공원,,서울특별시 강서구 가양동 1459-1,37.5718536104,126.844243,1500,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00090,아름,어린이공원,,서울특별시 강서구 가양동 1465,37.5685944536,126.8488644210,1956,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00091,꽃동네,어린이공원,,서울특별시 강서구 가양동 1461-1,37.5700950819,126.8471317629,1510,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00092,가양,어린이공원,,서울특별시 강서구 가양동 1462-2,37.569758,126.844789,1500,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00093,엄지,어린이공원,,서울특별시 강서구 가양동 1474-1,37.565769,126.854720,1511.6,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00094,무지개,어린이공원,,서울특별시 강서구 가양동 1478-1,37.565086,126.851657,1500,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00095,풀피리,어린이공원,,서울특별시 강서구 가양동 1481-1,37.563578,126.854686,1562,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00096,곰돌이,어린이공원,,서울특별시 강서구 가양동 1482-1,37.562405,126.857527,1612.3,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00097,비둘기,어린이공원,,서울특별시 강서구 가양동 1489-1,37.5595043745,126.8629441926,1622.8,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00098,진달래,어린이공원,,서울특별시 강서구 가양동 1486-1,37.562509,126.860808,1500,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00099,발음,어린이공원,,서울특별시 강서구 내발산동 697,37.5520418933,126.8332037008,913.6,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00100,광명,어린이공원,,서울특별시 강서구 내발산동 221-1,37.546857,126.822944,1739,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00101,수정,어린이공원,,서울특별시 강서구 내발산동 741-2,37.554331,126.827431,4000.3,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00102,은행나무,어린이공원,,서울특별시 강서구 내발산동 753-1,37.551205,126.823201,1764.4,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00103,신광명,어린이공원,,서울특별시 강서구 내발산동 761,37.555429,126.823007,8596.6,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00104,원당,어린이공원,,서울특별시 강서구 내발산동 650,37.5574132499,126.842084,992,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00105,가곡,어린이공원,,서울특별시 강서구 내발산동 657-2,37.555964,126.837765,2747.9,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
