보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
서초1동,1,서울특별시 서초구 서리풀2길 5,서울특별시 서초구 서초1동 1617-20,37.4876319,127.0210879,2009,전용주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서리풀길 14,서울특별시 서초구 서초1동 1617-21,37.487572,127.0209269,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로8길 106,서울특별시 서초구 서초1동 1605-3,37.4868607,127.0214145,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로8길 115,서울특별시 서초구 서초1동 1617-37,37.4872223,127.0218859,2009,전용주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로8길 38-6,서울특별시 서초구 서초1동 1603-22,37.4867091,127.0173729,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로8길 38-3,서울특별시 서초구 서초1동 1603-34,37.4869215,127.0176777,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로8길 38-8,서울특별시 서초구 서초1동 1603-24,37.4865595,127.0173794,2009,전용주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로8길 38-16,서울특별시 서초구 서초1동 1603-26,37.4863249,127.0175566,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로8길 38-20,서울특별시 서초구 서초1동 1603-28,37.4860869,127.0177588,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로8길 38-23,서울특별시 서초구 서초1동 1603-41,37.4864196,127.0181015,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로8길 38-28,서울특별시 서초구 서초1동 1603-45,37.4862551,127.0184768,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로8길 38-38,서울특별시 서초구 서초1동 1603-50,37.4868032,127.0184041,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 효령로61길 15,서울특별시 서초구 서초1동 1603-53,37.4867156,127.0188134,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 효령로61길 15,서울특별시 서초구 서초1동 1603-53,37.4867156,127.0188134,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 효령로61길 15,서울특별시 서초구 서초1동 1603-53,37.4867156,127.0188134,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 효령로 321,서울특별시 서초구 서초1동 1603-54,37.4860805,127.0191564,2009,전용주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로8길 70,서울특별시 서초구 서초1동 1604-3,37.4869611,127.01918,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로8길 70,서울특별시 서초구 서초1동 1604-1,37.4869611,127.01918,2009,전용주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로8길 72,서울특별시 서초구 서초1동 1604-2,37.4868643,127.0194617,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 효령로61길 14-6,서울특별시 서초구 서초1동 1604-8,37.4864537,127.0196072,2009,전용주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로8길 82,서울특별시 서초구 서초1동 1604-7,37.4868803,127.0198674,2009,전용주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로8길 82,서울특별시 서초구 서초1동 1604-7,37.4868803,127.0198674,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구,서울특별시 서초구 서초1동 1604-7,,,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구,서울특별시 서초구 서초1동 1604-9,,,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구,서울특별시 서초구 서초1동 1604-16,,,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서리풀길 1,서울특별시 서초구 서초1동 1604-18,37.4864621,127.0209426,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 효령로 321,서울특별시 서초구 서초1동 1603-54,37.4860805,127.0191564,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구,서울특별시 서초구 서초1동 1621-1,,,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로6길 5,서울특별시 서초구 서초1동 1621-6,37.4863259,127.0160471,2009,전용주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구,서울특별시 서초구 서초1동 1621-8,,,2009,전용주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로8길 18,서울특별시 서초구 서초1동 1621-11,37.4865869,127.0165514,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로8길 24,서울특별시 서초구 서초1동 1621-13,37.4866876,127.0168542,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구,서울특별시 서초구 서초1동 1603-2,,,2009,전용주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로 42,서울특별시 서초구 서초1동 1603-1,37.4857289,127.0160956,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로6길 18-2,서울특별시 서초구 서초1동 1603-21,37.4861877,127.0165464,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로6길 18-3,서울특별시 서초구 서초1동 1603-73,37.4862773,127.0168064,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로6길 26-3,서울특별시 서초구 서초1동 1603-82,37.4864278,127.0172477,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 효령로 305,서울특별시 서초구 서초1동 1603-67,37.4854896,127.017554,2009,전용주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 효령로57길 3,서울특별시 서초구 서초1동 1603-13,37.4853744,127.0166984,2009,전용주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 효령로57길 4,서울특별시 서초구 서초1동 1603-66,37.4853746,127.0170523,2009,전용주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 서초중앙로8길 12,서울특별시 서초구 서초1동 1621-10,37.4865075,127.0162188,2009,전용주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 효령로67길 46,서울특별시 서초구 서초1동 1608-3,37.4891248,127.0231275,2009,전용주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구,서울특별시 서초구 서초1동 1608-4,,,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구,서울특별시 서초구 서초1동 1608-4,,,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구 효령로67길 49-5,서울특별시 서초구 서초1동 1615-1,37.4890057,127.0225682,2009,한전주,02-2155-6996,서초구청,2019-06-05
서초1동,1,서울특별시 서초구,서울특별시 서초구 서초1동 1615-3,,,2009,한전주,02-2155-6996,서초구청,2019-06-05
